"Date","CC","CC_interp"
2017-01-01,7.14,7.14
2017-02-01,NA,7.24677777777778
2017-03-01,NA,7.34322222222222
2017-04-01,7.45,7.45
2017-05-01,NA,7.42692307692308
2017-06-01,NA,7.40307692307692
2017-07-01,7.38,7.38
2017-08-01,NA,7.41032608695652
2017-09-01,NA,7.44065217391304
2017-10-01,7.47,7.47
2017-11-01,NA,7.49695652173913
2017-12-01,NA,7.52304347826087
2018-01-01,7.55,7.55
2018-02-01,NA,7.70844444444444
2018-03-01,NA,7.85155555555556
2018-04-01,8.01,8.01
2018-05-01,NA,7.96714285714286
2018-06-01,NA,7.92285714285714
2018-07-01,7.88,7.88
2018-08-01,NA,7.90021739130435
2018-09-01,NA,7.9204347826087
2018-10-01,7.94,7.94
2018-11-01,NA,7.88271739130435
2018-12-01,NA,7.82728260869565
2019-01-01,7.77,7.77
2019-02-01,NA,7.95944444444444
2019-03-01,NA,8.13055555555556
2019-04-01,8.32,8.32
2019-05-01,NA,8.32
2019-06-01,NA,8.32
2019-07-01,8.32,8.32
2019-08-01,NA,8.30315217391304
2019-09-01,NA,8.28630434782609
2019-10-01,8.27,8.27
2019-11-01,NA,8.30032608695652
2019-12-01,NA,8.32967391304348
2020-01-01,8.36,8.36
2020-02-01,NA,8.60868131868132
2020-03-01,NA,8.84131868131868
2020-04-01,9.09,9.09
2020-05-01,NA,9.30758241758242
2020-06-01,NA,9.53241758241758
2020-07-01,9.75,9.75
2020-08-01,NA,9.74663043478261
2020-09-01,NA,9.74326086956522
2020-10-01,9.74,9.74
2020-11-01,NA,9.61195652173913
2020-12-01,NA,9.48804347826087
2021-01-01,9.36,9.36
2021-02-01,NA,9.57355555555556
2021-03-01,NA,9.76644444444444
2021-04-01,9.98,9.98
2021-05-01,NA,9.74923076923077
2021-06-01,NA,9.51076923076923
2021-07-01,9.28,9.28
2021-08-01,NA,9.10815217391304
2021-09-01,NA,8.93630434782609
2021-10-01,8.77,8.77
2021-11-01,NA,8.61836956521739
2021-12-01,NA,8.47163043478261
2022-01-01,8.32,8.32
2022-02-01,NA,8.35444444444444
2022-03-01,NA,8.38555555555556
2022-04-01,8.42,8.42
2022-05-01,NA,8.27494505494506
2022-06-01,NA,8.12505494505494
2022-07-01,7.98,7.98
2022-08-01,NA,7.84858695652174
2022-09-01,NA,7.71717391304348
2022-10-01,7.59,7.59
2022-11-01,NA,7.61695652173913
2022-12-01,NA,7.64304347826087
2023-01-01,7.67,7.67
2023-02-01,NA,7.86633333333333
2023-03-01,NA,8.04366666666667
2023-04-01,8.24,8.24
2023-05-01,NA,8.16087912087912
2023-06-01,NA,8.07912087912088
2023-07-01,8,8
2023-08-01,NA,8.48184782608696
2023-09-01,NA,8.96369565217391
2023-10-01,9.43,9.43
2023-11-01,NA,9.53445652173913
2023-12-01,NA,9.63554347826087
2024-01-01,9.74,9.74
2024-02-01,NA,10.0636263736264
2024-03-01,NA,10.3663736263736
2024-04-01,10.69,10.69
2024-05-01,NA,10.7691208791209
2024-06-01,NA,10.8508791208791
2024-07-01,10.93,10.93
2024-07-01,NA,10.93
2024-08-01,NA,10.9980906480722
2024-10-01,11.1320754716981,11.1320754716981
2024-11-01,NA,11.2055065627564
2024-12-01,NA,11.2765689089418
2025-01-01,11.35,11.35
